,Relative_Compactness,Surface_Area,Wall_Area,Roof_Area,Orientation,Glazing_Area,Glazing_Area_Distribution,Heating_Load,Cooling_Load,Storey
104,86,588.0,294.0,147.0,North,10,Northward,26.48,30.91,2
105,86,588.0,294.0,147.0,East,10,Northward,27.02,25.63,2
106,86,588.0,294.0,147.0,South,10,Northward,26.33,27.36,2
107,86,588.0,294.0,147.0,West,10,Northward,25.36,31.9,2
108,82,612.5,318.5,147.0,North,10,Northward,23.75,27.38,2
109,82,612.5,318.5,147.0,East,10,Northward,24.23,25.02,2
110,82,612.5,318.5,147.0,South,10,Northward,23.67,24.8,2
111,82,612.5,318.5,147.0,West,10,Northward,22.79,28.79,2
112,79,637.0,343.0,147.0,North,10,Northward,35.65,41.07,2
113,79,637.0,343.0,147.0,East,10,Northward,37.26,34.62,2
114,79,637.0,343.0,147.0,South,10,Northward,36.97,33.87,2
115,79,637.0,343.0,147.0,West,10,Northward,36.03,42.86,2
116,76,661.5,416.5,122.5,North,10,Northward,33.16,33.91,2
117,76,661.5,416.5,122.5,East,10,Northward,32.4,34.07,2
118,76,661.5,416.5,122.5,South,10,Northward,33.12,34.17,2
119,76,661.5,416.5,122.5,West,10,Northward,32.41,33.78,2
120,74,686.0,245.0,220.5,North,10,Northward,10.42,13.39,1
121,74,686.0,245.0,220.5,East,10,Northward,10.46,13.72,1
122,74,686.0,245.0,220.5,South,10,Northward,10.32,13.57,1
123,74,686.0,245.0,220.5,West,10,Northward,10.45,13.79,1
124,71,710.5,269.5,220.5,North,10,Northward,10.64,13.67,1
125,71,710.5,269.5,220.5,East,10,Northward,10.72,14.11,1
126,71,710.5,269.5,220.5,South,10,Northward,10.55,13.8,1
127,71,710.5,269.5,220.5,West,10,Northward,10.68,14.21,1
128,69,735.0,294.0,220.5,North,10,Northward,11.45,13.2,1
129,69,735.0,294.0,220.5,East,10,Northward,11.46,13.54,1
130,69,735.0,294.0,220.5,South,10,Northward,11.32,13.32,1
131,69,735.0,294.0,220.5,West,10,Northward,11.49,13.51,1
132,66,759.5,318.5,220.5,North,10,Northward,11.45,14.86,1
133,66,759.5,318.5,220.5,East,10,Northward,11.42,14.75,1
134,66,759.5,318.5,220.5,South,10,Northward,11.33,15.0,1
135,66,759.5,318.5,220.5,West,10,Northward,11.43,14.74,1
136,64,784.0,343.0,220.5,North,10,Northward,15.41,19.23,1
137,64,784.0,343.0,220.5,East,10,Northward,15.18,19.34,1
138,64,784.0,343.0,220.5,South,10,Northward,15.34,19.32,1
139,64,784.0,343.0,220.5,West,10,Northward,15.19,19.3,1
140,62,808.5,367.5,220.5,North,10,Northward,12.88,14.37,1
141,62,808.5,367.5,220.5,East,10,Northward,13.0,14.57,1
142,62,808.5,367.5,220.5,South,10,Northward,12.97,14.27,1
143,62,808.5,367.5,220.5,West,10,Northward,13.04,14.24,1
144,98,514.5,294.0,110.25,North,10,Eastward,24.28,25.68,2
145,98,514.5,294.0,110.25,East,10,Eastward,24.4,26.02,2
146,98,514.5,294.0,110.25,South,10,Eastward,24.11,25.84,2
147,98,514.5,294.0,110.25,West,10,Eastward,24.35,26.14,2
148,90,563.5,318.5,122.5,North,10,Eastward,28.07,34.14,2
149,90,563.5,318.5,122.5,East,10,Eastward,29.01,32.85,2
150,90,563.5,318.5,122.5,South,10,Eastward,29.62,30.08,2
151,90,563.5,318.5,122.5,West,10,Eastward,29.05,29.67,2
152,86,588.0,294.0,147.0,North,10,Eastward,25.41,31.73,2
153,86,588.0,294.0,147.0,East,10,Eastward,26.47,31.01,2
154,86,588.0,294.0,147.0,South,10,Eastward,26.89,25.9,2
155,86,588.0,294.0,147.0,West,10,Eastward,26.46,27.4,2
156,82,612.5,318.5,147.0,North,10,Eastward,22.93,28.68,2
157,82,612.5,318.5,147.0,East,10,Eastward,23.84,27.54,2
158,82,612.5,318.5,147.0,South,10,Eastward,24.17,25.35,2
159,82,612.5,318.5,147.0,West,10,Eastward,23.87,24.93,2
160,79,637.0,343.0,147.0,North,10,Eastward,35.78,43.12,2
161,79,637.0,343.0,147.0,East,10,Eastward,35.48,41.22,2
162,79,637.0,343.0,147.0,South,10,Eastward,36.97,35.1,2
163,79,637.0,343.0,147.0,West,10,Eastward,36.7,34.29,2
164,76,661.5,416.5,122.5,North,10,Eastward,32.52,33.85,2
165,76,661.5,416.5,122.5,East,10,Eastward,33.28,34.11,2
166,76,661.5,416.5,122.5,South,10,Eastward,32.33,34.48,2
167,76,661.5,416.5,122.5,West,10,Eastward,33.24,34.5,2
168,74,686.0,245.0,220.5,North,10,Eastward,10.39,13.6,1
169,74,686.0,245.0,220.5,East,10,Eastward,10.34,13.36,1
170,74,686.0,245.0,220.5,South,10,Eastward,10.35,13.65,1
171,74,686.0,245.0,220.5,West,10,Eastward,10.38,13.49,1
172,71,710.5,269.5,220.5,North,10,Eastward,10.77,14.14,1
173,71,710.5,269.5,220.5,East,10,Eastward,10.68,13.77,1
174,71,710.5,269.5,220.5,South,10,Eastward,10.68,14.3,1
175,71,710.5,269.5,220.5,West,10,Eastward,10.7,13.87,1
176,69,735.0,294.0,220.5,North,10,Eastward,11.22,14.44,1
177,69,735.0,294.0,220.5,East,10,Eastward,11.16,14.27,1
178,69,735.0,294.0,220.5,South,10,Eastward,11.1,14.67,1
179,69,735.0,294.0,220.5,West,10,Eastward,11.14,14.4,1
180,66,759.5,318.5,220.5,North,10,Eastward,11.59,13.46,1
181,66,759.5,318.5,220.5,East,10,Eastward,11.6,13.7,1
182,66,759.5,318.5,220.5,South,10,Eastward,11.53,13.59,1
183,66,759.5,318.5,220.5,West,10,Eastward,11.61,13.83,1
184,64,784.0,343.0,220.5,North,10,Eastward,15.16,19.14,1
185,64,784.0,343.0,220.5,East,10,Eastward,15.36,19.18,1
186,64,784.0,343.0,220.5,South,10,Eastward,15.12,19.37,1
187,64,784.0,343.0,220.5,West,10,Eastward,15.36,19.29,1
188,62,808.5,367.5,220.5,North,10,Eastward,12.68,14.09,1
189,62,808.5,367.5,220.5,East,10,Eastward,12.63,14.23,1
190,62,808.5,367.5,220.5,South,10,Eastward,12.71,14.14,1
191,62,808.5,367.5,220.5,West,10,Eastward,12.73,13.89,1
192,98,514.5,294.0,110.25,North,10,Southward,24.38,25.91,2
193,98,514.5,294.0,110.25,East,10,Southward,24.23,25.72,2
194,98,514.5,294.0,110.25,South,10,Southward,24.04,26.18,2
195,98,514.5,294.0,110.25,West,10,Southward,24.32,25.87,2
196,90,563.5,318.5,122.5,North,10,Southward,29.06,29.34,2
197,90,563.5,318.5,122.5,East,10,Southward,28.05,33.91,2
198,90,563.5,318.5,122.5,South,10,Southward,28.86,32.83,2
199,90,563.5,318.5,122.5,West,10,Southward,29.79,29.92,2
200,86,588.0,294.0,147.0,North,10,Southward,26.44,27.17,2
201,86,588.0,294.0,147.0,East,10,Southward,25.37,31.76,2
202,86,588.0,294.0,147.0,South,10,Southward,26.33,31.06,2
203,86,588.0,294.0,147.0,West,10,Southward,27.03,25.81,2
204,82,612.5,318.5,147.0,North,10,Southward,23.8,24.61,2
205,82,612.5,318.5,147.0,East,10,Southward,22.8,28.61,2
206,82,612.5,318.5,147.0,South,10,Southward,23.59,27.57,2
207,82,612.5,318.5,147.0,West,10,Southward,24.24,25.16,2
208,79,637.0,343.0,147.0,North,10,Southward,36.86,34.25,2
209,79,637.0,343.0,147.0,East,10,Southward,35.89,43.3,2
210,79,637.0,343.0,147.0,South,10,Southward,35.45,41.86,2
211,79,637.0,343.0,147.0,West,10,Southward,37.1,35.29,2
212,76,661.5,416.5,122.5,North,10,Southward,33.08,34.11,2
213,76,661.5,416.5,122.5,East,10,Southward,32.38,33.62,2
214,76,661.5,416.5,122.5,South,10,Southward,33.09,33.89,2
215,76,661.5,416.5,122.5,West,10,Southward,32.31,34.05,2
216,74,686.0,245.0,220.5,North,10,Southward,10.08,13.2,1
217,74,686.0,245.0,220.5,East,10,Southward,10.15,13.36,1
218,74,686.0,245.0,220.5,South,10,Southward,10.07,13.21,1
219,74,686.0,245.0,220.5,West,10,Southward,10.14,13.53,1
220,71,710.5,269.5,220.5,North,10,Southward,10.66,13.67,1
221,71,710.5,269.5,220.5,East,10,Southward,10.68,14.12,1
222,71,710.5,269.5,220.5,South,10,Southward,10.53,13.79,1
223,71,710.5,269.5,220.5,West,10,Southward,10.72,14.2,1
224,69,735.0,294.0,220.5,North,10,Southward,11.18,14.29,1
225,69,735.0,294.0,220.5,East,10,Southward,11.22,14.49,1
226,69,735.0,294.0,220.5,South,10,Southward,11.07,14.42,1
227,69,735.0,294.0,220.5,West,10,Southward,11.2,14.73,1
228,66,759.5,318.5,220.5,North,10,Southward,11.44,14.86,1
229,66,759.5,318.5,220.5,East,10,Southward,11.42,14.67,1
230,66,759.5,318.5,220.5,South,10,Southward,11.33,15.0,1
231,66,759.5,318.5,220.5,West,10,Southward,11.43,14.83,1
232,64,784.0,343.0,220.5,North,10,Southward,15.4,19.24,1
233,64,784.0,343.0,220.5,East,10,Southward,15.19,19.25,1
234,64,784.0,343.0,220.5,South,10,Southward,15.32,19.42,1
235,64,784.0,343.0,220.5,West,10,Southward,15.16,19.48,1
236,62,808.5,367.5,220.5,North,10,Southward,12.85,14.37,1
237,62,808.5,367.5,220.5,East,10,Southward,13.04,14.34,1
238,62,808.5,367.5,220.5,South,10,Southward,13.0,14.28,1
239,62,808.5,367.5,220.5,West,10,Southward,13.0,14.47,1
240,98,514.5,294.0,110.25,North,10,Westward,24.35,25.64,2
241,98,514.5,294.0,110.25,East,10,Westward,24.33,25.98,2
242,98,514.5,294.0,110.25,South,10,Westward,24.03,25.88,2
243,98,514.5,294.0,110.25,West,10,Westward,24.26,26.18,2
244,90,563.5,318.5,122.5,North,10,Westward,29.83,29.82,2
245,90,563.5,318.5,122.5,East,10,Westward,29.08,29.52,2
246,90,563.5,318.5,122.5,South,10,Westward,28.03,34.45,2
247,90,563.5,318.5,122.5,West,10,Westward,29.02,33.01,2
248,86,588.0,294.0,147.0,North,10,Westward,27.03,25.82,2
249,86,588.0,294.0,147.0,East,10,Westward,26.45,27.33,2
250,86,588.0,294.0,147.0,South,10,Westward,25.36,32.04,2
251,86,588.0,294.0,147.0,West,10,Westward,26.45,31.28,2
252,82,612.5,318.5,147.0,North,10,Westward,24.37,25.11,2
253,82,612.5,318.5,147.0,East,10,Westward,23.89,24.77,2
254,82,612.5,318.5,147.0,South,10,Westward,22.89,28.88,2
255,82,612.5,318.5,147.0,West,10,Westward,23.86,27.69,2
256,79,637.0,343.0,147.0,North,10,Westward,37.03,34.99,2
257,79,637.0,343.0,147.0,East,10,Westward,36.71,34.18,2
258,79,637.0,343.0,147.0,South,10,Westward,36.77,43.14,2
259,79,637.0,343.0,147.0,West,10,Westward,35.48,41.26,2
260,76,661.5,416.5,122.5,North,10,Westward,32.31,34.25,2
261,76,661.5,416.5,122.5,East,10,Westward,33.21,34.35,2
262,76,661.5,416.5,122.5,South,10,Westward,32.46,33.64,2
263,76,661.5,416.5,122.5,West,10,Westward,33.27,33.88,2
264,74,686.0,245.0,220.5,North,10,Westward,10.47,13.65,1
265,74,686.0,245.0,220.5,East,10,Westward,10.37,13.44,1
266,74,686.0,245.0,220.5,South,10,Westward,10.34,13.72,1
267,74,686.0,245.0,220.5,West,10,Westward,10.39,13.5,1
268,71,710.5,269.5,220.5,North,10,Westward,10.78,14.18,1
269,71,710.5,269.5,220.5,East,10,Westward,10.7,13.75,1
270,71,710.5,269.5,220.5,South,10,Westward,10.67,14.26,1
271,71,710.5,269.5,220.5,West,10,Westward,13.69,13.89,1
272,69,735.0,294.0,220.5,North,10,Westward,11.21,14.55,1
273,69,735.0,294.0,220.5,East,10,Westward,11.14,14.28,1
274,69,735.0,294.0,220.5,South,10,Westward,11.11,14.46,1
275,69,735.0,294.0,220.5,West,10,Westward,11.16,14.39,1
276,66,759.5,318.5,220.5,North,10,Westward,11.38,14.54,1
277,66,759.5,318.5,220.5,East,10,Westward,11.34,14.81,1
278,66,759.5,318.5,220.5,South,10,Westward,11.22,14.65,1
279,66,759.5,318.5,220.5,West,10,Westward,11.34,14.87,1
280,64,784.0,343.0,220.5,North,10,Westward,15.16,19.24,1
281,64,784.0,343.0,220.5,East,10,Westward,15.37,19.18,1
282,64,784.0,343.0,220.5,South,10,Westward,15.12,19.26,1
283,64,784.0,343.0,220.5,West,10,Westward,15.36,19.29,1
284,62,808.5,367.5,220.5,North,10,Westward,12.59,14.24,1
285,62,808.5,367.5,220.5,East,10,Westward,12.74,13.97,1
286,62,808.5,367.5,220.5,South,10,Westward,12.8,13.99,1
287,62,808.5,367.5,220.5,West,10,Westward,12.62,14.15,1
288,98,514.5,294.0,110.25,North,25,Uniform,28.15,29.79,2
289,98,514.5,294.0,110.25,East,25,Uniform,28.15,29.79,2
290,98,514.5,294.0,110.25,South,25,Uniform,28.37,29.28,2
291,98,514.5,294.0,110.25,West,25,Uniform,28.41,29.49,2
292,90,563.5,318.5,122.5,North,25,Uniform,32.68,36.12,2
293,90,563.5,318.5,122.5,East,25,Uniform,33.48,33.17,2
294,90,563.5,318.5,122.5,South,25,Uniform,32.84,32.71,2
295,90,563.5,318.5,122.5,West,25,Uniform,32.0,37.58,2
296,86,588.0,294.0,147.0,North,25,Uniform,29.54,33.98,2
297,86,588.0,294.0,147.0,East,25,Uniform,30.05,28.61,2
298,86,588.0,294.0,147.0,South,25,Uniform,29.6,30.12,2
299,86,588.0,294.0,147.0,West,25,Uniform,28.66,34.73,2
300,82,612.5,318.5,147.0,North,25,Uniform,26.84,30.17,2
301,82,612.5,318.5,147.0,East,25,Uniform,27.27,27.84,2
302,82,612.5,318.5,147.0,South,25,Uniform,26.97,27.25,2
303,82,612.5,318.5,147.0,West,25,Uniform,26.19,31.39,2
304,79,637.0,343.0,147.0,North,25,Uniform,38.67,43.8,2
305,79,637.0,343.0,147.0,East,25,Uniform,40.03,37.81,2
306,79,637.0,343.0,147.0,South,25,Uniform,39.86,36.85,2
307,79,637.0,343.0,147.0,West,25,Uniform,39.04,45.52,2
308,76,661.5,416.5,122.5,North,25,Uniform,36.96,36.85,2
309,76,661.5,416.5,122.5,East,25,Uniform,36.13,37.58,2
310,76,661.5,416.5,122.5,South,25,Uniform,36.91,37.45,2
311,76,661.5,416.5,122.5,West,25,Uniform,36.43,36.62,2
312,74,686.0,245.0,220.5,North,25,Uniform,12.43,15.19,1
313,74,686.0,245.0,220.5,East,25,Uniform,12.5,15.5,1
314,74,686.0,245.0,220.5,South,25,Uniform,12.41,15.28,1
315,74,686.0,245.0,220.5,West,25,Uniform,12.45,15.5,1
316,71,710.5,269.5,220.5,North,25,Uniform,12.57,15.42,1
317,71,710.5,269.5,220.5,East,25,Uniform,12.65,15.85,1
318,71,710.5,269.5,220.5,South,25,Uniform,12.57,15.44,1
319,71,710.5,269.5,220.5,West,25,Uniform,12.63,15.81,1
320,69,735.0,294.0,220.5,North,25,Uniform,12.78,15.21,1
321,69,735.0,294.0,220.5,East,25,Uniform,12.93,15.63,1
322,69,735.0,294.0,220.5,South,25,Uniform,12.73,15.48,1
323,69,735.0,294.0,220.5,West,25,Uniform,12.72,15.78,1
324,66,759.5,318.5,220.5,North,25,Uniform,13.17,16.39,1
325,66,759.5,318.5,220.5,East,25,Uniform,13.18,16.27,1
326,66,759.5,318.5,220.5,South,25,Uniform,13.17,16.39,1
327,66,759.5,318.5,220.5,West,25,Uniform,13.18,16.19,1
328,64,784.0,343.0,220.5,North,25,Uniform,17.5,21.13,1
329,64,784.0,343.0,220.5,East,25,Uniform,17.35,21.19,1
330,64,784.0,343.0,220.5,South,25,Uniform,17.52,21.09,1
331,64,784.0,343.0,220.5,West,25,Uniform,17.37,21.08,1
332,62,808.5,367.5,220.5,North,25,Uniform,15.09,15.77,1
333,62,808.5,367.5,220.5,East,25,Uniform,15.12,15.95,1
334,62,808.5,367.5,220.5,South,25,Uniform,15.08,15.77,1
335,62,808.5,367.5,220.5,West,25,Uniform,15.16,15.76,1
336,98,514.5,294.0,110.25,North,25,Northward,28.67,29.62,2
337,98,514.5,294.0,110.25,East,25,Northward,28.57,29.69,2
338,98,514.5,294.0,110.25,South,25,Northward,28.18,30.18,2
339,98,514.5,294.0,110.25,West,25,Northward,28.6,30.02,2
340,90,563.5,318.5,122.5,North,25,Northward,32.46,35.56,2
341,90,563.5,318.5,122.5,East,25,Northward,33.27,32.64,2
342,90,563.5,318.5,122.5,South,25,Northward,32.33,32.77,2
343,90,563.5,318.5,122.5,West,25,Northward,31.66,37.72,2
344,86,588.0,294.0,147.0,North,25,Northward,29.34,33.37,2
345,86,588.0,294.0,147.0,East,25,Northward,29.87,27.89,2
346,86,588.0,294.0,147.0,South,25,Northward,29.27,29.9,2
347,86,588.0,294.0,147.0,West,25,Northward,28.4,34.52,2
348,82,612.5,318.5,147.0,North,25,Northward,25.74,28.27,2
349,82,612.5,318.5,147.0,East,25,Northward,25.98,26.96,2
350,82,612.5,318.5,147.0,South,25,Northward,25.38,26.72,2
351,82,612.5,318.5,147.0,West,25,Northward,24.94,29.88,2
352,79,637.0,343.0,147.0,North,25,Northward,38.57,43.86,2
353,79,637.0,343.0,147.0,East,25,Northward,40.19,37.41,2
354,79,637.0,343.0,147.0,South,25,Northward,39.97,36.77,2
355,79,637.0,343.0,147.0,West,25,Northward,38.98,45.97,2
356,76,661.5,416.5,122.5,North,25,Northward,36.95,36.87,2
357,76,661.5,416.5,122.5,East,25,Northward,36.28,37.35,2
358,76,661.5,416.5,122.5,South,25,Northward,36.86,37.28,2
359,76,661.5,416.5,122.5,West,25,Northward,36.45,36.81,2
360,74,686.0,245.0,220.5,North,25,Northward,12.35,14.73,1
361,74,686.0,245.0,220.5,East,25,Northward,12.45,15.1,1
362,74,686.0,245.0,220.5,South,25,Northward,12.16,15.18,1
363,74,686.0,245.0,220.5,West,25,Northward,12.3,15.44,1
364,71,710.5,269.5,220.5,North,25,Northward,12.33,14.91,1
365,71,710.5,269.5,220.5,East,25,Northward,12.29,15.4,1
366,71,710.5,269.5,220.5,South,25,Northward,12.2,14.94,1
367,71,710.5,269.5,220.5,West,25,Northward,12.49,15.32,1
368,69,735.0,294.0,220.5,North,25,Northward,12.85,15.52,1
369,69,735.0,294.0,220.5,East,25,Northward,12.87,15.85,1
370,69,735.0,294.0,220.5,South,25,Northward,12.73,15.66,1
371,69,735.0,294.0,220.5,West,25,Northward,12.95,15.99,1
372,66,759.5,318.5,220.5,North,25,Northward,13.05,15.89,1
373,66,759.5,318.5,220.5,East,25,Northward,12.93,15.85,1
374,66,759.5,318.5,220.5,South,25,Northward,12.77,16.22,1
375,66,759.5,318.5,220.5,West,25,Northward,13.0,15.87,1
376,64,784.0,343.0,220.5,North,25,Northward,17.14,20.47,1
377,64,784.0,343.0,220.5,East,25,Northward,16.84,20.56,1
378,64,784.0,343.0,220.5,South,25,Northward,17.02,20.48,1
379,64,784.0,343.0,220.5,West,25,Northward,17.11,20.43,1
380,62,808.5,367.5,220.5,North,25,Northward,14.34,15.32,1
381,62,808.5,367.5,220.5,East,25,Northward,14.66,15.64,1
382,62,808.5,367.5,220.5,South,25,Northward,14.6,15.14,1
383,62,808.5,367.5,220.5,West,25,Northward,14.6,15.3,1
384,98,514.5,294.0,110.25,North,25,Eastward,28.67,29.43,2
385,98,514.5,294.0,110.25,East,25,Eastward,28.56,29.78,2
386,98,514.5,294.0,110.25,South,25,Eastward,28.17,30.1,2
387,98,514.5,294.0,110.25,West,25,Eastward,28.63,30.19,2
388,90,563.5,318.5,122.5,North,25,Eastward,31.63,36.35,2
389,90,563.5,318.5,122.5,East,25,Eastward,32.4,35.1,2
390,90,563.5,318.5,122.5,South,25,Eastward,32.68,32.83,2
391,90,563.5,318.5,122.5,West,25,Eastward,32.29,32.46,2
392,86,588.0,294.0,147.0,North,25,Eastward,28.4,33.52,2
393,86,588.0,294.0,147.0,East,25,Eastward,29.4,32.93,2
394,86,588.0,294.0,147.0,South,25,Eastward,29.43,28.38,2
395,86,588.0,294.0,147.0,West,25,Eastward,29.07,29.82,2
396,82,612.5,318.5,147.0,North,25,Eastward,24.7,28.77,2
397,82,612.5,318.5,147.0,East,25,Eastward,25.48,27.76,2
